"","experiment","value","method","replicate","Beta_SSE","test_R2","test_SSE","test_SST"
"256","r",10,"ORC_L_glmnet",14,119.665864479235,0.739981231291101,2870449.33784266,11039392.8565066
"257","r",10,"ORC_L_glmnet",15,122.267372562065,0.739950527422882,2877952.65310078,11066942.8573724
"258","r",10,"ORC_L_glmnet",16,125.436973215123,0.739463155961556,2863525.90545784,10990867.3992969
"259","r",10,"ORC_L_glmnet",17,130.338534491921,0.739469807919015,2885013.51396584,11073624.4844476
"260","r",10,"ORC_L_glmnet",18,122.937185557401,0.739392437525742,2872828.57820681,11023581.0155762
"261","r",10,"ORC_L_glmnet",19,121.570342946114,0.738270362674144,2886376.25823826,11028083.3600999
"262","r",10,"ORC_L_glmnet",2,132.570488955094,0.738808768156287,2869184.98094696,10984997.3166932
"263","r",10,"ORC_L_glmnet",20,120.096765457931,0.738435607111485,2873757.49664215,10986806.9766936
"264","r",10,"ORC_L_glmnet",21,116.801365177696,0.738963665784184,2885684.77459413,11054724.5587978
"265","r",10,"ORC_L_glmnet",22,126.003368600125,0.740705053512818,2843687.378526,10966998.8445632
