"","experiment","value","method","name","mean","two_se","group"
"168","r","10","MultiLORS","test_SST",11007846.3940101,19543.8081533835,"rMultiLORStest_SST"
"169","r","10","ORC_ALL_MultiLORS","Beta_SSE",57.871367919625,0.751564348500839,"rORC_ALL_MultiLORSBeta_SSE"
"170","r","10","ORC_ALL_MultiLORS","test_R2",0.745198172529807,0.000270296932153467,"rORC_ALL_MultiLORStest_R2"
"171","r","10","ORC_ALL_MultiLORS","test_SSE",2800796.99671792,5232.48465782091,"rORC_ALL_MultiLORStest_SSE"
"172","r","10","ORC_ALL_MultiLORS","test_SST",10992108.5392201,19309.2351586698,"rORC_ALL_MultiLORStest_SST"
"173","r","10","ORC_L_ALL_glmnet","Beta_SSE",32.8423409026249,0.309528078488681,"rORC_L_ALL_glmnetBeta_SSE"
"174","r","10","ORC_L_ALL_glmnet","test_R2",0.747395672318369,0.000255824306627193,"rORC_L_ALL_glmnettest_R2"
"175","r","10","ORC_L_ALL_glmnet","test_SSE",2776178.39410107,5146.76779178087,"rORC_L_ALL_glmnettest_SSE"
"176","r","10","ORC_L_ALL_glmnet","test_SST",10990272.1235029,19388.8906884168,"rORC_L_ALL_glmnettest_SST"
"177","r","10","ORC_L_glmnet","Beta_SSE",126.397699029869,1.75914236825538,"rORC_L_glmnetBeta_SSE"
"178","r","10","ORC_L_glmnet","test_R2",0.739389285279568,0.000307631679455981,"rORC_L_glmnettest_R2"
"179","r","10","ORC_L_glmnet","test_SSE",2867234.61975172,4979.02059565992,"rORC_L_glmnettest_SSE"
"180","r","10","ORC_L_glmnet","test_SST",11002083.7465277,19425.0781398302,"rORC_L_glmnettest_SST"
"181","r","11","glmnet","Beta_SSE",793.100235464031,9.68901060816742,"rglmnetBeta_SSE"
"182","r","11","glmnet","test_R2",0.671511421695201,0.000844004565906684,"rglmnettest_R2"
"183","r","11","glmnet","test_SSE",3944350.44297687,11015.1293477137,"rglmnettest_SSE"
"184","r","11","glmnet","test_SST",12007693.3166998,20306.8792100946,"rglmnettest_SST"
"185","r","11","MultiLORS","Beta_SSE",438.456377329513,6.44708938975563,"rMultiLORSBeta_SSE"
"186","r","11","MultiLORS","test_R2",0.708959138772613,0.000546121375394519,"rMultiLORStest_R2"
"187","r","11","MultiLORS","test_SSE",3494699.34593369,7788.35983799107,"rMultiLORStest_SSE"
"188","r","11","MultiLORS","test_SST",12007693.3166998,20306.8792100946,"rMultiLORStest_SST"
"189","r","11","ORC_ALL_MultiLORS","Beta_SSE",61.3993949293131,0.775532852700134,"rORC_ALL_MultiLORSBeta_SSE"
"190","r","11","ORC_ALL_MultiLORS","test_R2",0.745302315604633,0.000253088607691435,"rORC_ALL_MultiLORStest_R2"
"191","r","11","ORC_ALL_MultiLORS","test_SSE",3054064.67577803,5515.33018307331,"rORC_ALL_MultiLORStest_SSE"
"192","r","11","ORC_ALL_MultiLORS","test_SST",11990978.3083477,20042.1272552273,"rORC_ALL_MultiLORStest_SST"
"193","r","11","ORC_L_ALL_glmnet","Beta_SSE",32.9829502250351,0.311258683860097,"rORC_L_ALL_glmnetBeta_SSE"
"194","r","11","ORC_L_ALL_glmnet","test_R2",0.747598938742708,0.0002382894232922,"rORC_L_ALL_glmnettest_R2"
"195","r","11","ORC_L_ALL_glmnet","test_SSE",3026031.63205143,5406.8562899027,"rORC_L_ALL_glmnettest_SSE"
"196","r","11","ORC_L_ALL_glmnet","test_SST",11989019.0740177,20110.1348991928,"rORC_L_ALL_glmnettest_SST"
"197","r","11","ORC_L_glmnet","Beta_SSE",128.546259585584,1.84310095572859,"rORC_L_glmnetBeta_SSE"
"198","r","11","ORC_L_glmnet","test_R2",0.740170834680688,0.000280274789161334,"rORC_L_glmnettest_R2"
"199","r","11","ORC_L_glmnet","test_SSE",3118419.12340199,5150.45108358304,"rORC_L_glmnettest_SSE"
"200","r","11","ORC_L_glmnet","test_SST",12001897.5700377,20129.7363856948,"rORC_L_glmnettest_SST"
"201","r","12","glmnet","Beta_SSE",862.126369761012,9.71568981854624,"rglmnetBeta_SSE"
"202","r","12","glmnet","test_R2",0.671358990682626,0.000821487904010106,"rglmnettest_R2"
"203","r","12","glmnet","test_SSE",4277100.13332033,11524.4999284966,"rglmnettest_SSE"
"204","r","12","glmnet","test_SST",13014627.0160765,20781.7985622606,"rglmnettest_SST"
"205","r","12","MultiLORS","Beta_SSE",492.241498236569,6.71943566846807,"rMultiLORSBeta_SSE"
"206","r","12","MultiLORS","test_R2",0.707335432404543,0.000546282649667917,"rMultiLORStest_R2"
"207","r","12","MultiLORS","test_SSE",3808889.08364357,8248.709053206,"rMultiLORStest_SSE"
"208","r","12","MultiLORS","test_SST",13014627.0160765,20781.7985622606,"rMultiLORStest_SST"
"209","r","12","ORC_ALL_MultiLORS","Beta_SSE",64.943599741393,0.767697614903194,"rORC_ALL_MultiLORSBeta_SSE"
"210","r","12","ORC_ALL_MultiLORS","test_R2",0.74535577732916,0.000266856320353901,"rORC_ALL_MultiLORStest_R2"
"211","r","12","ORC_ALL_MultiLORS","test_SSE",3309374.16340417,5540.10000787005,"rORC_ALL_MultiLORStest_SSE"
"212","r","12","ORC_ALL_MultiLORS","test_SST",12996133.4482517,20554.0520633197,"rORC_ALL_MultiLORStest_SST"
"213","r","12","ORC_L_ALL_glmnet","Beta_SSE",33.0869789418421,0.313161023637497,"rORC_L_ALL_glmnetBeta_SSE"
"214","r","12","ORC_L_ALL_glmnet","test_R2",0.747766092966091,0.000251671638545064,"rORC_L_ALL_glmnettest_R2"
"215","r","12","ORC_L_ALL_glmnet","test_SSE",3277510.43068277,5457.30524216504,"rORC_L_ALL_glmnettest_SSE"
"216","r","12","ORC_L_ALL_glmnet","test_SST",12993992.3534948,20651.8420215561,"rORC_L_ALL_glmnettest_SST"
"217","r","12","ORC_L_glmnet","Beta_SSE",130.675880024925,1.89190669349283,"rORC_L_glmnetBeta_SSE"
"218","r","12","ORC_L_glmnet","test_R2",0.740833884237676,0.000287033717722658,"rORC_L_glmnettest_R2"
"219","r","12","ORC_L_glmnet","test_SSE",3371197.08007638,5329.79756278792,"rORC_L_glmnettest_SSE"
"220","r","12","ORC_L_glmnet","test_SST",13007962.6759018,20706.9844988354,"rORC_L_glmnettest_SST"
"221","r","13","glmnet","Beta_SSE",927.498394542538,9.96592264312284,"rglmnetBeta_SSE"
"222","r","13","glmnet","test_R2",0.671366097388293,0.000781530372528471,"rglmnettest_R2"
"223","r","13","glmnet","test_SSE",4605249.81283649,11487.4511552422,"rglmnettest_SSE"
"224","r","13","glmnet","test_SST",14013482.7571497,22327.5451211555,"rglmnettest_SST"
"225","r","13","MultiLORS","Beta_SSE",548.878635043167,7.16995451241272,"rMultiLORSBeta_SSE"
"226","r","13","MultiLORS","test_R2",0.70553383447229,0.000563442571750534,"rMultiLORStest_R2"
"227","r","13","MultiLORS","test_SSE",4126455.69859727,8834.77818359766,"rMultiLORStest_SSE"
"228","r","13","MultiLORS","test_SST",14013482.7571497,22327.5451211555,"rMultiLORStest_SST"
"229","r","13","ORC_ALL_MultiLORS","Beta_SSE",69.7185323656933,0.861095685785192,"rORC_ALL_MultiLORSBeta_SSE"
"230","r","13","ORC_ALL_MultiLORS","test_R2",0.745396334649824,0.00026268363585636,"rORC_ALL_MultiLORStest_R2"
"231","r","13","ORC_ALL_MultiLORS","test_SSE",3562746.18552316,5992.00304063283,"rORC_ALL_MultiLORStest_SSE"
"232","r","13","ORC_ALL_MultiLORS","test_SST",13993363.3461116,21995.2072145099,"rORC_ALL_MultiLORStest_SST"
"233","r","13","ORC_L_ALL_glmnet","Beta_SSE",33.2102730462905,0.315905642909914,"rORC_L_ALL_glmnetBeta_SSE"
